Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,30/12/2024,30/12/2024 00:00:00,Food,8000.0
FOH,Sales,Forecast,30/12/2024,30/12/2024 00:00:00,Beverage,3600.0
FOH,Sales,Prediction,30/12/2024,30/12/2024 00:00:00,Food,3331.0
FOH,Sales,Prediction,30/12/2024,30/12/2024 00:00:00,Beverage,1293.0
FOH,Sales,Actual,30/12/2024,30/12/2024 10:00:00,Beverage,20.7083
FOH,Sales,Actual,30/12/2024,30/12/2024 10:00:00,Food,38.9167
FOH,Sales,Actual,30/12/2024,30/12/2024 11:00:00,Beverage,23.25
FOH,Sales,Actual,30/12/2024,30/12/2024 11:00:00,Food,68.625
FOH,Sales,Actual,30/12/2024,30/12/2024 12:00:00,Beverage,143.4583
FOH,Sales,Actual,30/12/2024,30/12/2024 12:00:00,Food,465.5
FOH,Sales,Actual,30/12/2024,30/12/2024 13:00:00,Beverage,364.25
FOH,Sales,Actual,30/12/2024,30/12/2024 13:00:00,Food,1069.7917
FOH,Sales,Actual,30/12/2024,30/12/2024 14:00:00,Beverage,266.5833
FOH,Sales,Actual,30/12/2024,30/12/2024 14:00:00,Food,899.7917
FOH,Sales,Actual,30/12/2024,30/12/2024 15:00:00,Beverage,526.4583
FOH,Sales,Actual,30/12/2024,30/12/2024 15:00:00,Food,834.625
FOH,Sales,Actual,30/12/2024,30/12/2024 16:00:00,Beverage,381.7083
FOH,Sales,Actual,30/12/2024,30/12/2024 16:00:00,Food,944.875
FOH,Sales,Actual,30/12/2024,30/12/2024 17:00:00,Beverage,430.9167
FOH,Sales,Actual,30/12/2024,30/12/2024 17:00:00,Food,1503.5416
FOH,Sales,Actual,30/12/2024,30/12/2024 18:00:00,Beverage,509.3333
FOH,Sales,Actual,30/12/2024,30/12/2024 18:00:00,Food,925.9583
FOH,Sales,Actual,30/12/2024,30/12/2024 19:00:00,Beverage,464.75
FOH,Sales,Actual,30/12/2024,30/12/2024 19:00:00,Food,1228.4166
FOH,Sales,Actual,30/12/2024,30/12/2024 20:00:00,Beverage,472.1667
FOH,Sales,Actual,30/12/2024,30/12/2024 20:00:00,Food,643.2083
FOH,Sales,Actual,30/12/2024,30/12/2024 21:00:00,Beverage,206.8333
FOH,Sales,Actual,30/12/2024,30/12/2024 21:00:00,Food,134.25
FOH,Sales,Actual,30/12/2024,30/12/2024 22:00:00,Beverage,0.0
FOH,Sales,Actual,30/12/2024,30/12/2024 22:00:00,Food,0.0
FOH,Sales,Forecast,31/12/2024,31/12/2024 00:00:00,Food,7000.0
FOH,Sales,Forecast,31/12/2024,31/12/2024 00:00:00,Beverage,2700.0
FOH,Sales,Prediction,31/12/2024,31/12/2024 00:00:00,Food,3354.0
FOH,Sales,Prediction,31/12/2024,31/12/2024 00:00:00,Beverage,1468.0
FOH,Sales,Actual,31/12/2024,31/12/2024 10:00:00,Beverage,2.7083
FOH,Sales,Actual,31/12/2024,31/12/2024 10:00:00,Food,7.4583
FOH,Sales,Actual,31/12/2024,31/12/2024 11:00:00,Beverage,69.1667
FOH,Sales,Actual,31/12/2024,31/12/2024 11:00:00,Food,57.125
FOH,Sales,Actual,31/12/2024,31/12/2024 12:00:00,Beverage,94.9583
FOH,Sales,Actual,31/12/2024,31/12/2024 12:00:00,Food,696.3333
FOH,Sales,Actual,31/12/2024,31/12/2024 13:00:00,Beverage,142.125
FOH,Sales,Actual,31/12/2024,31/12/2024 13:00:00,Food,463.3333
FOH,Sales,Actual,31/12/2024,31/12/2024 14:00:00,Beverage,451.7083
FOH,Sales,Actual,31/12/2024,31/12/2024 14:00:00,Food,891.875
FOH,Sales,Actual,31/12/2024,31/12/2024 15:00:00,Beverage,310.125
FOH,Sales,Actual,31/12/2024,31/12/2024 15:00:00,Food,697.0833
FOH,Sales,Actual,31/12/2024,31/12/2024 16:00:00,Beverage,352.5417
FOH,Sales,Actual,31/12/2024,31/12/2024 16:00:00,Food,722.6667
FOH,Sales,Actual,31/12/2024,31/12/2024 17:00:00,Beverage,289.2917
FOH,Sales,Actual,31/12/2024,31/12/2024 17:00:00,Food,749.7083
FOH,Sales,Actual,31/12/2024,31/12/2024 18:00:00,Beverage,274.4167
FOH,Sales,Actual,31/12/2024,31/12/2024 18:00:00,Food,595.4167
FOH,Sales,Actual,31/12/2024,31/12/2024 19:00:00,Beverage,444.2083
FOH,Sales,Actual,31/12/2024,31/12/2024 19:00:00,Food,1099.9583
FOH,Sales,Actual,31/12/2024,31/12/2024 20:00:00,Beverage,412.0833
FOH,Sales,Actual,31/12/2024,31/12/2024 20:00:00,Food,715.125
FOH,Sales,Actual,31/12/2024,31/12/2024 21:00:00,Beverage,147.4167
FOH,Sales,Actual,31/12/2024,31/12/2024 21:00:00,Food,141.8333
FOH,Sales,Prediction,01/01/2025,01/01/2025 00:00:00,Food,3973.0
FOH,Sales,Prediction,01/01/2025,01/01/2025 00:00:00,Beverage,1695.0
FOH,Sales,Forecast,02/01/2025,02/01/2025 00:00:00,Food,5300.0
FOH,Sales,Forecast,02/01/2025,02/01/2025 00:00:00,Beverage,1800.0
FOH,Sales,Prediction,02/01/2025,02/01/2025 00:00:00,Beverage,1649.0
FOH,Sales,Prediction,02/01/2025,02/01/2025 00:00:00,Food,4225.0
FOH,Sales,Actual,02/01/2025,02/01/2025 11:00:00,Beverage,37.0833
FOH,Sales,Actual,02/01/2025,02/01/2025 11:00:00,Food,76.0
FOH,Sales,Actual,02/01/2025,02/01/2025 12:00:00,Beverage,141.0417
FOH,Sales,Actual,02/01/2025,02/01/2025 12:00:00,Food,469.4167
FOH,Sales,Actual,02/01/2025,02/01/2025 13:00:00,Beverage,208.125
FOH,Sales,Actual,02/01/2025,02/01/2025 13:00:00,Food,548.875
FOH,Sales,Actual,02/01/2025,02/01/2025 14:00:00,Beverage,132.0833
FOH,Sales,Actual,02/01/2025,02/01/2025 14:00:00,Food,321.0833
FOH,Sales,Actual,02/01/2025,02/01/2025 15:00:00,Beverage,102.9167
FOH,Sales,Actual,02/01/2025,02/01/2025 15:00:00,Food,118.7917
FOH,Sales,Actual,02/01/2025,02/01/2025 16:00:00,Beverage,158.7917
FOH,Sales,Actual,02/01/2025,02/01/2025 16:00:00,Food,652.25
FOH,Sales,Actual,02/01/2025,02/01/2025 17:00:00,Beverage,165.2917
FOH,Sales,Actual,02/01/2025,02/01/2025 17:00:00,Food,569.9167
FOH,Sales,Actual,02/01/2025,02/01/2025 18:00:00,Beverage,290.0
FOH,Sales,Actual,02/01/2025,02/01/2025 18:00:00,Food,707.0833
FOH,Sales,Actual,02/01/2025,02/01/2025 19:00:00,Beverage,243.875
FOH,Sales,Actual,02/01/2025,02/01/2025 19:00:00,Food,927.7083
FOH,Sales,Actual,02/01/2025,02/01/2025 20:00:00,Beverage,210.75
FOH,Sales,Actual,02/01/2025,02/01/2025 20:00:00,Food,355.3333
FOH,Sales,Actual,02/01/2025,02/01/2025 21:00:00,Beverage,0.0
FOH,Sales,Actual,02/01/2025,02/01/2025 21:00:00,Food,23.1667
FOH,Sales,Forecast,03/01/2025,03/01/2025 00:00:00,Food,6900.0
FOH,Sales,Forecast,03/01/2025,03/01/2025 00:00:00,Beverage,2700.0
FOH,Sales,Prediction,03/01/2025,03/01/2025 00:00:00,Beverage,2751.0
FOH,Sales,Prediction,03/01/2025,03/01/2025 00:00:00,Food,6124.0
FOH,Sales,Actual,03/01/2025,03/01/2025 10:00:00,Beverage,21.7917
FOH,Sales,Actual,03/01/2025,03/01/2025 10:00:00,Food,20.2917
FOH,Sales,Actual,03/01/2025,03/01/2025 11:00:00,Beverage,14.8333
FOH,Sales,Actual,03/01/2025,03/01/2025 11:00:00,Food,177.4167
FOH,Sales,Actual,03/01/2025,03/01/2025 12:00:00,Beverage,191.9167
FOH,Sales,Actual,03/01/2025,03/01/2025 12:00:00,Food,653.875
FOH,Sales,Actual,03/01/2025,03/01/2025 13:00:00,Beverage,372.625
FOH,Sales,Actual,03/01/2025,03/01/2025 13:00:00,Food,1091.4583
FOH,Sales,Actual,03/01/2025,03/01/2025 14:00:00,Beverage,337.4167
FOH,Sales,Actual,03/01/2025,03/01/2025 14:00:00,Food,908.5833
FOH,Sales,Actual,03/01/2025,03/01/2025 15:00:00,Beverage,378.5417
FOH,Sales,Actual,03/01/2025,03/01/2025 15:00:00,Food,954.375
FOH,Sales,Actual,03/01/2025,03/01/2025 16:00:00,Beverage,415.7917
FOH,Sales,Actual,03/01/2025,03/01/2025 16:00:00,Food,1134.5
FOH,Sales,Actual,03/01/2025,03/01/2025 17:00:00,Beverage,558.0833
FOH,Sales,Actual,03/01/2025,03/01/2025 17:00:00,Food,1130.2917
FOH,Sales,Actual,03/01/2025,03/01/2025 18:00:00,Beverage,512.9583
FOH,Sales,Actual,03/01/2025,03/01/2025 18:00:00,Food,1187.25
FOH,Sales,Actual,03/01/2025,03/01/2025 19:00:00,Beverage,639.6667
FOH,Sales,Actual,03/01/2025,03/01/2025 19:00:00,Food,1187.75
FOH,Sales,Actual,03/01/2025,03/01/2025 20:00:00,Beverage,372.5417
FOH,Sales,Actual,03/01/2025,03/01/2025 20:00:00,Food,872.4583
FOH,Sales,Actual,03/01/2025,03/01/2025 21:00:00,Beverage,95.5833
FOH,Sales,Actual,03/01/2025,03/01/2025 21:00:00,Food,60.125
FOH,Sales,Actual,03/01/2025,03/01/2025 22:00:00,Beverage,0.0
FOH,Sales,Actual,03/01/2025,03/01/2025 22:00:00,Food,2.5
FOH,Sales,Forecast,04/01/2025,04/01/2025 00:00:00,Food,8500.0
FOH,Sales,Forecast,04/01/2025,04/01/2025 00:00:00,Beverage,3600.0
FOH,Sales,Prediction,04/01/2025,04/01/2025 00:00:00,Food,8160.0
FOH,Sales,Prediction,04/01/2025,04/01/2025 00:00:00,Beverage,3785.0
FOH,Sales,Actual,04/01/2025,04/01/2025 10:00:00,Beverage,3.9583
FOH,Sales,Actual,04/01/2025,04/01/2025 10:00:00,Food,50.2917
FOH,Sales,Actual,04/01/2025,04/01/2025 11:00:00,Beverage,38.9583
FOH,Sales,Actual,04/01/2025,04/01/2025 11:00:00,Food,140.6667
FOH,Sales,Actual,04/01/2025,04/01/2025 12:00:00,Beverage,178.9167
FOH,Sales,Actual,04/01/2025,04/01/2025 12:00:00,Food,815.375
FOH,Sales,Actual,04/01/2025,04/01/2025 13:00:00,Beverage,437.9167
FOH,Sales,Actual,04/01/2025,04/01/2025 13:00:00,Food,1138.2083
FOH,Sales,Actual,04/01/2025,04/01/2025 14:00:00,Beverage,455.7083
FOH,Sales,Actual,04/01/2025,04/01/2025 14:00:00,Food,957.7917
FOH,Sales,Actual,04/01/2025,04/01/2025 15:00:00,Beverage,356.625
FOH,Sales,Actual,04/01/2025,04/01/2025 15:00:00,Food,1294.0
FOH,Sales,Actual,04/01/2025,04/01/2025 16:00:00,Beverage,438.9583
FOH,Sales,Actual,04/01/2025,04/01/2025 16:00:00,Food,679.3333
FOH,Sales,Actual,04/01/2025,04/01/2025 17:00:00,Beverage,461.3333
FOH,Sales,Actual,04/01/2025,04/01/2025 17:00:00,Food,1299.2083
FOH,Sales,Actual,04/01/2025,04/01/2025 18:00:00,Beverage,504.4583
FOH,Sales,Actual,04/01/2025,04/01/2025 18:00:00,Food,924.8333
FOH,Sales,Actual,04/01/2025,04/01/2025 19:00:00,Beverage,477.0417
FOH,Sales,Actual,04/01/2025,04/01/2025 19:00:00,Food,969.7917
FOH,Sales,Actual,04/01/2025,04/01/2025 20:00:00,Beverage,213.3333
FOH,Sales,Actual,04/01/2025,04/01/2025 20:00:00,Food,451.9583
FOH,Sales,Actual,04/01/2025,04/01/2025 21:00:00,Beverage,21.9583
FOH,Sales,Actual,04/01/2025,04/01/2025 21:00:00,Food,35.8333
FOH,Sales,Actual,04/01/2025,04/01/2025 22:00:00,Food,0.0
FOH,Sales,Forecast,05/01/2025,05/01/2025 00:00:00,Food,4500.0
FOH,Sales,Forecast,05/01/2025,05/01/2025 00:00:00,Beverage,1300.0
FOH,Sales,Prediction,05/01/2025,05/01/2025 00:00:00,Food,4612.0
FOH,Sales,Prediction,05/01/2025,05/01/2025 00:00:00,Beverage,1403.0
FOH,Sales,Actual,05/01/2025,05/01/2025 10:00:00,Beverage,20.1667
FOH,Sales,Actual,05/01/2025,05/01/2025 10:00:00,Food,46.8333
FOH,Sales,Actual,05/01/2025,05/01/2025 11:00:00,Beverage,97.7917
FOH,Sales,Actual,05/01/2025,05/01/2025 11:00:00,Food,306.9583
