Department,Metric,Subdivision,Date of business,UTC datetime,Stream,Value
FOH,Sales,Forecast,10/08/2026,10/08/2026 00:00:00,Food,3905.0
FOH,Sales,Forecast,10/08/2026,10/08/2026 00:00:00,Beverage,1595.0
FOH,Sales,Prediction,10/08/2026,10/08/2026 01:00:00,Food,3854.26
FOH,Sales,Prediction,10/08/2026,10/08/2026 01:00:00,Beverage,1551.58
FOH,Sales,Actual,10/08/2026,10/08/2026 09:00:00,Beverage,0.0
FOH,Sales,Actual,10/08/2026,10/08/2026 10:00:00,Beverage,15.125
FOH,Sales,Actual,10/08/2026,10/08/2026 10:00:00,Food,92.6667
FOH,Sales,Actual,10/08/2026,10/08/2026 11:00:00,Beverage,24.8333
FOH,Sales,Actual,10/08/2026,10/08/2026 11:00:00,Food,110.4583
FOH,Sales,Actual,10/08/2026,10/08/2026 12:00:00,Beverage,91.625
FOH,Sales,Actual,10/08/2026,10/08/2026 12:00:00,Food,346.0
FOH,Sales,Actual,10/08/2026,10/08/2026 13:00:00,Beverage,255.6667
FOH,Sales,Actual,10/08/2026,10/08/2026 13:00:00,Food,836.9167
FOH,Sales,Actual,10/08/2026,10/08/2026 14:00:00,Beverage,206.625
FOH,Sales,Actual,10/08/2026,10/08/2026 14:00:00,Food,528.0833
FOH,Sales,Actual,10/08/2026,10/08/2026 15:00:00,Beverage,104.0417
FOH,Sales,Actual,10/08/2026,10/08/2026 15:00:00,Food,185.9583
FOH,Sales,Actual,10/08/2026,10/08/2026 16:00:00,Beverage,124.75
FOH,Sales,Actual,10/08/2026,10/08/2026 16:00:00,Food,140.4167
FOH,Sales,Actual,10/08/2026,10/08/2026 17:00:00,Beverage,78.7917
FOH,Sales,Actual,10/08/2026,10/08/2026 17:00:00,Food,319.2917
FOH,Sales,Actual,10/08/2026,10/08/2026 18:00:00,Beverage,220.375
FOH,Sales,Actual,10/08/2026,10/08/2026 18:00:00,Food,481.1667
FOH,Sales,Actual,10/08/2026,10/08/2026 19:00:00,Beverage,250.375
FOH,Sales,Actual,10/08/2026,10/08/2026 19:00:00,Food,639.5
FOH,Sales,Actual,10/08/2026,10/08/2026 20:00:00,Beverage,206.5
FOH,Sales,Actual,10/08/2026,10/08/2026 20:00:00,Food,454.4167
FOH,Sales,Actual,10/08/2026,10/08/2026 21:00:00,Beverage,77.8333
FOH,Sales,Actual,10/08/2026,10/08/2026 21:00:00,Food,99.75
FOH,Sales,Actual,10/08/2026,10/08/2026 22:00:00,Beverage,0.0
FOH,Sales,Actual,10/08/2026,10/08/2026 22:00:00,Food,0.0
FOH,Sales,Forecast,11/08/2026,11/08/2026 00:00:00,Food,4260.0
FOH,Sales,Forecast,11/08/2026,11/08/2026 00:00:00,Beverage,1740.0
FOH,Sales,Prediction,11/08/2026,11/08/2026 01:00:00,Food,3947.26
FOH,Sales,Prediction,11/08/2026,11/08/2026 01:00:00,Beverage,1668.33
FOH,Sales,Actual,11/08/2026,11/08/2026 09:00:00,Beverage,6.1667
FOH,Sales,Actual,11/08/2026,11/08/2026 10:00:00,Beverage,19.0833
FOH,Sales,Actual,11/08/2026,11/08/2026 10:00:00,Food,44.0833
FOH,Sales,Actual,11/08/2026,11/08/2026 11:00:00,Beverage,38.2917
FOH,Sales,Actual,11/08/2026,11/08/2026 11:00:00,Food,221.9583
FOH,Sales,Actual,11/08/2026,11/08/2026 12:00:00,Beverage,178.375
